AGEGROUP,Time,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD,NAME,OBJECTID
Age_0_9,0.0,35656,0,0,0,0,0,0,0,0,Achterhoek,16
Age_10_19,0.0,49275,0,0,0,0,0,0,0,0,Achterhoek,16
Age_20_29,0.0,38953,0,0,0,0,0,0,0,0,Achterhoek,16
Age_30_39,0.0,38162,0,0,0,0,0,0,0,0,Achterhoek,16
Age_40_49,0.0,51221,0,0,0,0,0,0,0,0,Achterhoek,16
Age_50_59,0.0,64943,0,0,0,0,0,0,0,0,Achterhoek,16
Age_60_69,0.0,56837,0,0,0,0,0,0,0,0,Achterhoek,16
Age_70_79,0.0,43179,0,0,0,0,0,0,0,0,Achterhoek,16
Age_80_150,0.0,22459,0,0,0,0,0,0,0,0,Achterhoek,16
Age_0_9,1.0,35656,0,0,0,0,0,0,0,0,Achterhoek,16
Age_10_19,1.0,49275,0,0,0,0,0,0,0,0,Achterhoek,16
Age_20_29,1.0,38953,0,0,0,0,0,0,0,0,Achterhoek,16
Age_30_39,1.0,38162,0,0,0,0,0,0,0,0,Achterhoek,16
Age_40_49,1.0,51221,0,0,0,0,0,0,0,0,Achterhoek,16
Age_50_59,1.0,64943,0,0,0,0,0,0,0,0,Achterhoek,16
Age_60_69,1.0,56837,0,0,0,0,0,0,0,0,Achterhoek,16
Age_70_79,1.0,43179,0,0,0,0,0,0,0,0,Achterhoek,16
Age_80_150,1.0,22459,0,0,0,0,0,0,0,0,Achterhoek,16
Age_0_9,2.0,35656,0,0,0,0,0,0,0,0,Achterhoek,16
Age_10_19,2.0,49275,0,0,0,0,0,0,0,0,Achterhoek,16
Age_20_29,2.0,38953,0,0,0,0,0,0,0,0,Achterhoek,16
Age_30_39,2.0,38162,0,0,0,0,0,0,0,0,Achterhoek,16
Age_40_49,2.0,51221,0,0,0,0,0,0,0,0,Achterhoek,16
Age_50_59,2.0,64943,0,0,0,0,0,0,0,0,Achterhoek,16
Age_60_69,2.0,56837,0,0,0,0,0,0,0,0,Achterhoek,16
Age_70_79,2.0,43179,0,0,0,0,0,0,0,0,Achterhoek,16
Age_80_150,2.0,22459,0,0,0,0,0,0,0,0,Achterhoek,16
Age_0_9,3.0,35656,0,0,0,0,0,0,0,0,Achterhoek,16
