AGEGROUP,Time,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,CURED,DEAD,NAME,OBJECTID
AGE_18_35,12,94415,0,0,0,0,0,2,0,Achterhoek,16
AGE_35_45,12,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,12,78161,1,0,0,0,0,0,0,Achterhoek,16
AGE_65_85,12,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,12,28217,0,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,13,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,13,94414,1,0,0,0,0,2,0,Achterhoek,16
AGE_35_45,13,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,13,78161,0,0,0,0,0,1,0,Achterhoek,16
AGE_65_85,13,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,13,28216,1,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,14,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,14,94414,0,1,0,0,0,2,0,Achterhoek,16
AGE_35_45,14,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,14,78160,1,0,0,0,0,1,0,Achterhoek,16
AGE_65_85,14,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,14,28216,1,0,0,0,0,0,0,Achterhoek,16
AGE_0_18,15,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,15,94414,0,0,1,0,0,2,0,Achterhoek,16
AGE_35_45,15,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,15,78160,1,0,0,0,0,1,0,Achterhoek,16
AGE_65_85,15,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,15,28216,0,0,0,0,0,1,0,Achterhoek,16
AGE_0_18,16,77618,0,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,16,94413,1,0,0,1,0,2,0,Achterhoek,16
AGE_35_45,16,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,16,78160,1,0,0,0,0,1,0,Achterhoek,16
AGE_65_85,16,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,16,28215,1,0,0,0,0,1,0,Achterhoek,16
AGE_0_18,17,77617,1,0,0,0,0,0,0,Achterhoek,16
AGE_18_35,17,94413,0,1,0,0,0,3,0,Achterhoek,16
AGE_35_45,17,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,17,78159,1,0,0,0,0,2,0,Achterhoek,16
AGE_65_85,17,78059,0,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,17,28215,1,0,0,0,0,1,0,Achterhoek,16
AGE_0_18,18,77617,0,0,0,0,0,1,0,Achterhoek,16
AGE_18_35,18,94413,0,0,1,0,0,3,0,Achterhoek,16
AGE_35_45,18,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,18,78158,2,0,0,0,0,2,0,Achterhoek,16
AGE_65_85,18,78058,1,0,0,0,0,1,0,Achterhoek,16
AGE_85_100,18,28215,0,1,0,0,0,1,0,Achterhoek,16
AGE_0_18,19,77616,1,0,0,0,0,1,0,Achterhoek,16
AGE_18_35,19,94413,0,0,1,0,0,3,0,Achterhoek,16
AGE_35_45,19,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,19,78158,0,1,0,0,0,3,0,Achterhoek,16
AGE_65_85,19,78058,0,0,0,0,0,2,0,Achterhoek,16
AGE_85_100,19,28214,1,0,1,0,0,1,0,Achterhoek,16
AGE_0_18,20,77616,0,1,0,0,0,1,0,Achterhoek,16
AGE_18_35,20,94413,0,0,1,0,0,3,0,Achterhoek,16
AGE_35_45,20,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,20,78158,0,0,0,0,0,4,0,Achterhoek,16
AGE_65_85,20,78058,0,0,0,0,0,2,0,Achterhoek,16
AGE_85_100,20,28214,1,0,1,0,0,1,0,Achterhoek,16
AGE_0_18,21,77616,0,1,0,0,0,1,0,Achterhoek,16
AGE_18_35,21,94413,0,0,0,0,0,4,0,Achterhoek,16
AGE_35_45,21,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,21,78158,0,0,0,0,0,4,0,Achterhoek,16
AGE_65_85,21,78058,0,0,0,0,0,2,0,Achterhoek,16
AGE_85_100,21,28214,0,1,1,0,0,1,0,Achterhoek,16
AGE_0_18,22,77616,0,0,0,0,0,2,0,Achterhoek,16
AGE_18_35,22,94413,0,0,0,0,0,4,0,Achterhoek,16
